,Median_hh_income,Total_population,Total_white_population,Percent_white_population,Percent_black_population,Average_hh_size,Percent_hh_built_1950s,Percent_hh_built_1960s,NAME,state,county,tract,suburb_house_decades,Class,Typology_Flag,Housing_Age_Flag,Combined_Flag
32,60701.0,7790.0,7032.0,90.3,6.3,2.77,7.3,2.8,"Census Tract 83.70, Franklin County, Ohio",39,049,008370,10.1,0,0,0,0
33,31290.0,1802.0,1644.0,91.2,10.9,2.72,36.0,18.1,"Census Tract 88.11, Franklin County, Ohio",39,049,008811,54.1,0,0,1,0
34,30625.0,1683.0,963.0,57.2,35.7,2.47,9.6,5.1,"Census Tract 16, Franklin County, Ohio",39,049,001600,14.7,0,0,0,0
35,113438.0,4587.0,4249.0,92.6,0.9,2.75,9.8,49.4,"Census Tract 63.21, Franklin County, Ohio",39,049,006321,59.2,1,1,1,1
36,96790.0,6644.0,6343.0,95.5,4.6,2.65,2.9,10.8,"Census Tract 71.93, Franklin County, Ohio",39,049,007193,13.700000000000001,1,1,0,0
37,33169.0,2800.0,915.0,32.7,62.5,2.58,15.4,19.9,"Census Tract 75.31, Franklin County, Ohio",39,049,007531,35.3,0,0,1,0
38,65170.0,7067.0,5805.0,82.1,4.6,2.41,0.6,6.3,"Census Tract 63.71, Franklin County, Ohio",39,049,006371,6.8999999999999995,0,0,0,0
39,43005.0,4357.0,3522.0,80.8,14.3,2.39,54.1,19.0,"Census Tract 81.10, Franklin County, Ohio",39,049,008110,73.1,0,0,1,0
40,31902.0,2271.0,498.0,21.9,73.1,2.29,50.7,12.3,"Census Tract 93.33, Franklin County, Ohio",39,049,009333,63.0,0,0,1,0
41,50517.0,6568.0,6410.0,97.6,5.3,2.2,1.0,14.9,"Census Tract 97.20, Franklin County, Ohio",39,049,009720,15.9,1,1,0,0
42,33250.0,3653.0,2495.0,68.3,34.8,2.29,29.1,27.1,"Census Tract 77.22, Franklin County, Ohio",39,049,007722,56.2,0,0,1,0
43,92067.0,15507.0,14626.0,94.3,6.4,2.69,1.4,4.2,"Census Tract 97.40, Franklin County, Ohio",39,049,009740,5.6,1,1,0,0
44,43641.0,2609.0,1062.0,40.7,58.1,2.32,1.3,5.6,"Census Tract 93.86, Franklin County, Ohio",39,049,009386,6.8999999999999995,0,0,0,0
